X	arrayTrain_postMeanCollapse	htp1.5_WU_update	commercial_4x44k_postMeanCollapse_WashU_v2	commercial_1x44k_postMeanCollapse_WashU	Agilent_244K	RNAseq.Freeze.20120907	totalRNA.FFPE.20151111	HTAN_BRCA_LOG2_FPKM	HTAN_BRCA_log2_fpkm_uqnorm	HTAN_BRCA	HTAN_BRCA_singlecell_cell_level	HTAN_BRCA_singlecell_cluster_level	HTAN_BRCA_singlecell_cluster_level_2	HTAN_BRCA_singlecell_cluster_level_nonormals	HTAN_BRCA_singlecell_cell_level_nonormals	HTAN_BRCA_singlenuclei_cluster_level	HTAN_BRCA_singlenuclei_cluster_level_df3.0	HTAN-BRCA-bulk-20201201	HTAN-BRCA-sc-cluster-20201209	HTAN-BRCA-sn-cluster-20201209	HTAN-BRCA-sc-cluster-20201215	HTAN-BRCA-sn-cluster-20201215	HTAN-BRCA-sc-average	HTAN-BRCA-sn-average	HTAN-BRCA-sc-cluster-20201218	HTAN-BRCA-sn-cluster-20201218	HTAN-BRCA-ST-cluster-20210303	HTAN-BRCA-ST-cluster-anchor-20210303	HTAN-BRCA-sn-cluster-20210319
GPR160	0.383	5.666021198	0.879894737	0.3855	0.721157304	9.681816867	8.893	0.214639636	0.195548183	16.2	0	0.057722386	0.057834102	0.057834102	0	0.292654592	0.265899123	16.2	0.058206107	0.265940346	0.062645349	0.195364238	0.088248691	0.200980104	0.057692308	0.195972718	1.380952381	0	0.258294367
GRB7	0.772	0.37176255	0.727868421	0.205	0.785288784	9.015404737	8.301	0.070556802	-0.061878834	17.44	0	0.03274818	0.026044178	0.026044178	0	0.165893673	0.149132205	17.3	0.027586207	0.177603853	0.03125	0.136085627	0.03228194	0.14305417	0.028025478	0.136788887	0.572289157	1.059567387	0.143957219
KIF2C	-1.831	-0.978650592	-2.0756	-1.2595	-1.432894099	9.263520271	8.4545	-0.098849441	0.090074727	16.54	0	0.021137026	0.020005463	0.020005463	0	0.027314504	0.025518341	16.54	0.021129797	0.025806452	0.009565265	0.017227878	0.035982692	0.059627912	0.014925373	0.016840234	0.060962567	0	0.030892449
NDC80	-2.0635	-0.475240357	-1.828	-1.718	-1.512434375	8.339688581	7.086	-0.05989839	0.028938193	15.4	0	0.023082776	0.025366863	0.025366863	0	0.020887892	0.018796992	15.4	0.027777778	0.018939394	0.009662062	0.010909091	0.041562286	0.085627091	0.012471655	0.011711656	0.023230088	0	0.023529412
KRT14	0.2785	1.238253748	-0.39615	-0.0455	0.007196464	9.092058084	7.429	0.022717026	0.151108275	17.19	0	0.013194889	0.007547491	0.007547491	0	0.005072212	0.005019907	17.19	0.008602151	0.005095541	0	0.003372681	0.17034844	0.655936381	0.005263158	0.004009965	0.186144578	3063.039835	0.007280291
KRT17	-0.459	0.246015736	-1.164825	-0.9995	-0.684369208	9.744508354	8.908	-0.137575688	-0.050914392	18.46	0	0.196707643	0.049691959	0.049691959	0	0.011000417	0.009569378	18.16	0.061728395	0.009677419	0.019345795	0.006237006	2.003700752	0.238746405	0.019607843	0.006575186	0.248192771	538.1133083	0.009963768
KRT5	-0.6805	2.234875966	-1.19165	-0.8565	-0.761021133	9.79697365	8.764	-0.052483823	0.054454664	17.28	0	0.014903889	0.010455662	0.010455662	0	0.00688603	0.006993007	17.68	0.008193187	0.004905969	0.000803859	0.00209205	0.065759508	0.145078937	0.007518797	0.002721357	0.072289157	302.4939314	0.008
MAPT	0	1.148998514	0.4418	0.104	0.403034349	8.971144459	8.873	-0.46590266	-0.23809942	15.21	0	0.046091085	0.037634409	0.037634409	0	0.779253072	0.69955157	15.59	0.016200295	0.838519489	0.019638044	0.303030303	0.166704623	0.777216973	0.020408163	0.305705456	1.145558487	0	0.778843081
MDM2	0.2405	6.503630597	-0.272666667	-0.1375	-0.197899543	10.89241744	12.155	-0.229077823	-0.222029178	17.26	0	0.143444527	0.139739793	0.139739793	0	0.527170565	0.481927711	17.43	0.134328358	0.48852459	0.128101786	0.430656934	0.164996584	0.767768062	0.142857143	0.453806523	0.780983917	0	0.454805492
MELK	-1.9175	-0.787196863	-1.9323	-1.3565	-1.847675214	8.929375595	8.033	-0.16998683	0.026254206	16.38	0	0.013030782	0.017015752	0.017015752	0	0.09143094	0.088050314	16.38	0.023655914	0.09044586	0.00999102	0.047945205	0.032794352	0.332824696	0.015710919	0.048562767	0.044585987	0	0.093457944
MIA	-0.715	1.991145772	-1.043333333	-0.6455	-0.680630754	4.470588924	5.2495	-0.394936522	0.092823288	13.37	0	0.002328377	0.001672003	0.001672003	0	0	0	13.16	0.001934236	0	0	0	0.007059895	0.191149715	0	0.029909621	0.040677966	161.6232656	0
MKI67	-1.6965	-0.757719431	-2.965948718	-0.733	-1.726379305	11.30192354	12.07	-0.287792162	-0.102289709	17.75	0	0.083319343	0.094080983	0.094080983	0	0.054329638	0.047775662	17.92	0.119092628	0.049891901	0.06622879	0.029908973	0.135276702	2.15124127	0.05	1.97554707	0.155440415	93.69142198	0.050330452
MLPH	0.8465	1.963068745	-0.066131579	0.101	0.984550248	11.84782705	11.784	0.393616713	0.411448669	18.99	0	0.137664693	0.134418203	0.134418203	0	2.336196237	2.36347359	19.45	0.129770992	2.376719057	0.170380682	2.042003231	0.206786609	0.032220201	0.171597633	0.009238899	10.17272148	1.145382712	2.394949884
MMP11	3.289	6.967634333	2.892685714	2.0165	3.241462153	12.36925692	11.163	0.087621921	0.12862598	18.92	0	0.014130274	0.014038174	0.014038174	0	0.014174443	0.013852048	18.52	0.011782032	0.014412054	0.006182337	0.00862069	0.097984514	0.08278068	0.005988024	0.020742723	1.243523316	7.967725404	0.01459854
MYBL2	-1.9115	-1.981576466	-1.603775	-0.397	-1.61655395	10.12309678	8.848	-0.004531993	0.12798382	17.85	0	0.019271431	0.01867222	0.01867222	0	0.046286521	0.044225146	17.82	0.023622047	0.043222004	0.011764706	0.020408163	0.047711228	0.145489759	0.0125	0.089838383	0.124793388	2394.436968	0.040302828
MYC	-1.617	0.426752831	-2.335	-1.8795	-1.151368901	10.79443012	10.551	0.14285669	0.054499595	19.21	0	0.296376812	0.27176168	0.27176168	0	0.08565963	0.082928311	19.42	0.281296024	0.081829897	0.225578232	0.089414183	0.288260077	0.218674805	0.224489796	0.040848415	1.89159292	0.883690559	0.105821126
NAT1	1.081	0.827508907	3.105475	0.8945	0.853039851	7.720837976	7.538	-0.298881351	-0.325988632	14.62	0	0.009561373	0.008336857	0.008336857	0	0.075805687	0.061302682	15.36	0.007761966	0.06072533	0.006730588	0.040816327	0.03547028	0.062943835	0.005988024	0.019657088	3.260962567	1.962371413	0.086263287
ORC6	-2.4095	-1.400635704	-2.7957	0.4965	-2.338159534	7.349175497	7.6315	-0.280150343	-0.170789869	14.69	0	0.022325992	0.025813428	0.025813428	0	0.025925509	0.024301337	14.76	0.027586207	0.025451031	0.020169492	0.019512195	0.035356411	1.087094313	0.01615074	0.291473519	0.042635659	0	0.017793594
PGR	0.648444444	1.030792302	-1.177483871	-0.905	-1.253546011	6.492890662	8.586	-0.565233589	-0.178502082	14.5	0	0.009868492	0.007424156	0.007424156	0	0.56216861	0.515473033	14.84	0.004418262	0.511948271	0	0.264900662	0.03473013	0.17850226	0	0.031217516	0.093264249	0	0.676989416
PHGDH	-1.9655	-0.949022832	-1.90485	-1.387	-1.283085454	10.29585295	9.2585	-0.158406693	-0.100623462	16.18	0	0.063574463	0.054579187	0.054579187	0	0.031247032	0.033050847	16.18	0.045530633	0.03204948	0.054458449	0.031185031	0.110225461	0.0192793	0.057377049	0.004025274	0.338969404	0	0.028277635
PTTG1	-1.8915	-1.064268952	-1.686974359	-1.224	-2.144596023	8.760055573	7.317	0.284126557	0.281014275	17.36	0	0.132145536	0.119539889	0.119539889	0.693147181	0.010921324	0.01005117	17.36	0.153543307	0.009823183	0.089612925	0.00390117	0.271862901	0.001790011	0.133542812	0	0.298347107	25.26849705	0.012155592
RRM2	-2.567	-0.803239531	-2.46925641	-0.308	-2.035829398	10.15748867	9.3955	-0.176763266	0.036691034	16.16	0	0.02380823	0.041241497	0.041241497	0	0.000999013	0.000865501	16.16	0.06185567	0.000831532	0.022739018	0	0.086540651	0.427900698	0.02173913	0.019803922	0.11627907	37.0897715	0.000963763
SFRP1	-0.526	2.754784698	-1.08525	-0.0475	-1.641859488	10.05478636	10.643	0.266193342	0.354785342	19.37	0	0.049822974	0.026559729	0.026559729	0	0.015262409	0.014625229	19.63	0.040860215	0.013764213	0.013416937	0.02	0.421885675	0.755326017	0.013986014	0.304741295	0.076836158	158.2990475	0.020833333
SLC39A6	-0.8825	-0.557500599	-0.477	-0.942	0.079968262	12.53565184	11.65	-0.209868579	-0.254102323	19.66	0	0.779857398	0.63220444	0.63220444	0.693147181	0.37620335	0.362578335	20.7	0.484251969	0.377289377	0.255492905	0.304878049	0.787178319	0.074564235	0.242788462	0.057831246	4.970560304	1.19087791	0.674466979
TMEM45B	-1.3705	1.998777205	-1.57915	-0.622	-1.694689158	6.548036591	6.3265	-0.271048573	-0.127977284	14.85	0	0.005334467	0.004111092	0.004111092	0	0.076947893	0.066380449	14.85	0.005671078	0.076862745	0	0.056034483	0.006319745	0.064645813	0.004608295	0.025653681	0.03539823	0	0.0592
TYMS	-2.795	0.344801316	-2.783052632	-1.963	-2.233947158	9.419438291	8.438	-0.16194754	-0.059413703	16.59	0	0.064691123	0.065667423	0.065667423	0	0.045402119	0.044889391	16.69	0.083333333	0.043137255	0.060661765	0.025445293	0.139262127	0.027202301	0.058915947	0.00586994	0.310743802	2.934267995	0.048541527
UBE2C	-1.089	-0.743295045	-2.214897436	-1.121	-1.168991322	9.511211739	8.127	0.214401002	0.224708553	18.14	0	0.069470858	0.072956153	0.072956153	0.693147181	0.011380006	0.01099537	18.23	0.131570137	0.010909091	0.050035097	0.005481597	0.250113869	0.05023769	0.075	0.016463752	0.638016529	15.78932435	0.011109054
UBE2T	-1.723	-0.152282102	-1.557513514	-1.029	-1.277875511	8.887009756	7.068	0.209690412	0.323417998	16.95	0	0.060408565	0.065889247	0.065889247	0.693147181	0.020590649	0.018796992	17.22	0.08495041	0.018939394	0.0625	0.017094017	0.126451833		0.06205813		0.303305785	0	0.018700241
